title,price_raw,price_num,rating_raw,rating_num,reviews_raw,reviews_num,paint_type,base_type,availability,availability_flag,brand,category,url,scrape_date
"THE ONE All-In-One Paint & Primer - Green Matte, 33.8 Fl Oz/1 Liter | 1 Coat Formula | Easy Indoor & Outdoor Decorating for Home & Garden Walls, Floors & Furniture | Water-Based & Low VOC",$35.16,35.16,4.1 out of 5 stars,4.1,"(24,254)",24254.0,Wall Paint,Water-Based,In Stock,True,Visit the THE ONE Store,Tools & Home Improvement,https://www.amazon.com/One-Paint-Matte-Litre-Undercoat/dp/B07952WMGT/ref=sr_1_1?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-1,2026-04-05
"Rust-Oleum 267334 Painter's Touch Latex Paint, Quart, Satin Hunt Club Green, 1 Quarts (Pack of 1)",$18.75,18.75,4.5 out of 5 stars,4.5,"(30,763)",30763.0,Wall Paint,Unknown,In Stock,True,Visit the Rust-Oleum Store,Tools & Home Improvement,https://www.amazon.com/Rust-Oleum-267334-Painters-Touch-Quart/dp/B075X25RP5/ref=sr_1_2?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-2,2026-04-05
"THE ONE All-In-One Paint & Primer - Black Satin, 33.8 Fl Oz/1 Liter | 1 Coat Formula | Easy Indoor & Outdoor Decorating for Home & Garden Walls, Floors & Furniture | Water-Based & Low VOC",$41.95,41.95,4.1 out of 5 stars,4.1,"(24,254)",24254.0,Wall Paint,Water-Based,In Stock,True,Visit the THE ONE Store,Tools & Home Improvement,https://www.amazon.com/ONE-Paint-Interior-Exterior-Undercoat/dp/B077XW59BZ/ref=sr_1_3?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-3,2026-04-05
"Falling in Art Chalkboard Paint, 16 Oz Black Chalkboard Paint Use on Walls, Doors, Paper, Wood, Ideal for Decorations and DIY Projects",$12.87,12.87,4.6 out of 5 stars,4.6,(70),70.0,Wall Paint,Unknown,In Stock,True,Visit the Falling in Art Store,Tools & Home Improvement,https://aax-us-east-retail-direct.amazon.com/x/c/JCzJM-febUwAs1ZTlNnbY9wAAAGdXuDPpwEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICD6RtI4/clv1c_ek-wBQXWarbeXj1XZ_sMuu8AyowxcEYvqj5j5hNGtxF8pklyGokzI79u8YoCi1Vf6aYz3A8gobDopi4jdeDCmAEpeiQ9sgzpwut3zOam_Mh0gwIDwgsClm3x1rm0IHg8VrsOLMFEUOY3bfVCoYYi9zGapsG09lXsPkL8zjE6JMacV3YHzBMVZGbsJlYOAahD-2_xq0xGHQtg5Q3dtkJG2-ApGWMVrgKSTebUK5kHwby5BBU-Kn26kLklMnqqjy_GzmMcGl1D3eejf0F2keehqtJgOPuIatNJMsimziNTYabw2rrTcWhRdL5L8eq03ECywk72iBuhRCygw0Qfx17JptoYhdNtcb6pV272CqpcPOn1VqWk7EwiKYmFz__GVng0IbsxSqjQGdMBrjPbt2i4mT15vUZpWD0z-FKTN8qumYV4EgsFGJYOUM8ziaf38qzETguxvhEoBmbJJMAalj7K-lLMw3g89w9Rjx4YCBS7oBw3Ah9zbvt5B6inxRxOUnGjCK_trybLTVTP5UQAqGhHCgzSi1AoN-yA3ZI1Dnav4VQaRs4O_jv3us11ga-fbIbKct4xcNnnyAD9lYPxYcJ44Wi9vjre1lvwyxPEmGNSWP9h0GfUVSer_zwk31IjJoc3B82U511WHwLIY0GxpejjMRzyPQgkpfDLDeiVBvuP7R3nx8EFOeOlsDu2kJpxJO2sqI1QPvyKBATbuPiuByNdguwKczLRbM3spIRe4afvz6tAuGn8s34m0r05qcaComh9jhsn882RFsMj2a2h78vgWQkdU-6DoasRgn0b7sLlW1Ksze25P4lP_jxMjhniAaiLzoXFpHuAsWcoNhv10l9ZxyZhq8JjBQ3PjWvjImF6R2WiPHDAYnoktQmilSb7Zlz8DLVIJ1LbrG0OTmzq1bqxMJbxdlsWDljcFl_J0Ktk5eH4IGzuJ4-JrwLU1YPXWiAu5XFVb3WWy7IWkRdqP4HjwUhHSB-2dA5ndg31vnExXP-lIs0q99oBf4ExjDob-AFVUgHSNJS37w5mgB7pr8dKLErKePoneLCzQGysMKwpAVDNza5-baCRTlx5jcWR7uIN3I_EBDjVxZ-rHbcIt6bET7b35Td38GHrkN0D40K_t-u55eOb3oGz9tmnzKAnTl5YJt--aoMudo95WZsQZ36SFl7huCH9WozGEm4G92YY5_XoZOue5IeOw2RIKCpUk2iBCs_uVrQFMAS2vMX6FBCK5seAc1yyehTGX2_ucu4hmDsk7wyCRaB31vUdzwWBlKy9d-1Xu403LTYK00Ra4jTZkLGhyNX2akaJDLabSw5E01wKu4us5Nbd9duAJ4F-Lab2ccHmGQ2sIakn24Ov2q1gb385qWZWp8nmVrdvisNVybOitFqm9KT4_ZCKElt392tBycuXUA3FSMK8X5ty-CS54L00leUEvDGC1_VRPnFj_vzywEm-nsz53D8G3SgMeJBRhuSz2DVyrLKE_6zAk97SyxkuMuYQsCV2azSrNRWi4-2Fp_NmF3a-sZyYcHqIUdOCNcu584yX7t3GDdiQLC2Kk4cwZgD_n-cNPLu1aWQH2vLFlkekjBLdYVEi9cs79kMlatbi6MGiFaLp3XJls0yo8UJ-SsXr6l0PvnFlDL99R0xy8Xmf0g/https://www.amazon.com/Falling-Art-Chalkboard-Decorations-Projects/dp/B0DZGYGFN4/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.c8b39f81-ded8-4d75-80c2-6dfa03cbb699%3Aamzn1.sym.c8b39f81-ded8-4d75-80c2-6dfa03cbb699&crid=3E1E8K8OO4Q80&cv_ct_cx=wall+paint&keywords=wall+paint&pd_rd_i=B0DZGYGFN4&pd_rd_r=07c4dcbf-f0e8-4d2b-8bf1-a1d1a223f772&pd_rd_w=IHOSH&pd_rd_wg=LL2qr&pf_rd_p=c8b39f81-ded8-4d75-80c2-6dfa03cbb699&pf_rd_r=RFESP3WJVWV082SSGDBY&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D&sprefix=wall+paint%2Caps%2C625&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776,2026-04-05
"Rust-Oleum 376514 Advanced Dry Door & Trim Paint, Quart, Satin Vermont Green",$17.97,17.97,4.6 out of 5 stars,4.6,"(1,820)",1820.0,Wall Paint,Unknown,In Stock,True,Visit the Rust-Oleum Store,Tools & Home Improvement,https://www.amazon.com/Rust-Oleum-376514-Advanced-Paint-Vermont/dp/B0BY3FJWPQ/ref=sr_1_4?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-4,2026-04-05
"White Touch Up Paint Pen, White Paint for Wall, Door, Cabinets, Furniture, Enamel,Wood (Semi-Gloss, 50ML)",$7.99,7.99,4.3 out of 5 stars,4.3,(137),137.0,Wall Paint,Unknown,In Stock,True,Brand: EzyAce,Tools & Home Improvement,https://www.amazon.com/EzyAce-Cabinets-Furniture-Porcelain-Appliance/dp/B0DN2LBYWP/ref=sr_1_5?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-5,2026-04-05
"Rust-Oleum 369385 Advanced Dry Door & Trim Paint, Quart, Satin Cranberry",$16.72,16.72,4.6 out of 5 stars,4.6,"(1,820)",1820.0,Wall Paint,Unknown,In Stock,True,Visit the Rust-Oleum Store,Tools & Home Improvement,https://www.amazon.com/Rust-Oleum-369385-Advanced-Paint-Cranberry/dp/B0BY3DZMC6/ref=sr_1_6?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-6,2026-04-05
"THE ONE All-In-One Paint & Primer - Black Gloss, 33.8 Fl Oz/1 Liter | 1 Coat Formula | Easy Indoor & Outdoor Decorating for Home & Garden Walls, Floors & Furniture | Water-Based & Low VOC",$41.95,41.95,4.1 out of 5 stars,4.1,"(24,254)",24254.0,Wall Paint,Water-Based,In Stock,True,Visit the THE ONE Store,Tools & Home Improvement,https://www.amazon.com/One-Paint-Gloss-Litre-Undercoat/dp/B07955QLBZ/ref=sr_1_7?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-7,2026-04-05
"Rust-Oleum Serenity Blue Chalked All-in-One Ultra Matte Paint | One Coat Coverage | No Primer, Sanding, Or Topcoat Needed | Easy Clean Up | Made in USA | 30 OZ",$24.99,24.99,4.5 out of 5 stars,4.5,"(51,699)",51699.0,Wall Paint,Unknown,Only 7 left in stock - order soon.,False,Visit the Rust-Oleum Store,Tools & Home Improvement,https://www.amazon.com/Rust-Oleum-285139-Interior-Chalked-Serenity/dp/B00YSK43AG/ref=sr_1_8?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-8,2026-04-05
"Rust-Oleum 7732502 Stops Rust Brush On Paint, Quart, Satin Hunter Green, (Pack of 1)",$26.91,26.91,4.6 out of 5 stars,4.6,"(2,728)",2728.0,Wall Paint,Unknown,In Stock,True,Visit the Rust-Oleum Store,Tools & Home Improvement,https://www.amazon.com/Rust-Oleum-7732502-Stops-Hunter-Finish/dp/B000LNSKTY/ref=sr_1_9?crid=3E1E8K8OO4Q80&dib=eyJ2IjoiMSJ9.isAICfpjqkN2shfHOMoSgMzAAN825HFEteXtjJEOII0-qNgmMV8G08k1wQeijyVbsH3ikotmn0RbHRoV0iKwVWl-jiHXGR-l7E5px6H8C23-KI_JorN86NzB1PXJ1jY2VpUhVrZDYo4cp7j83USrxiF-l-tecmxwdi7KjnfZjkLNuHahdMl0NVgSoZ3imIiBYEo-1X7HAD4O1VMS1jMj1apvVfl9pRr3bu6h8ojyJgfbeVTFIy64GSbTx5IStdfxYRpje7YJ94zQ6CTB2GdI27PtwWRotTaQSs2_IwiVOLs.CGlPMCG5ePs2cu0UFvGr3CmAu89u7pXT0Z6sffNo-c8&dib_tag=se&keywords=wall+paint&qid=1775413284&refinements=p_n_feature_three_browse-bin%3A17870886011%2Cp_n_feature_twelve_browse-bin%3A12897841%7C12897931&rnid=2246753011&sprefix=wall+paint%2Caps%2C625&sr=8-9,2026-04-05
